A319	€83	€523	€1,901	€154	€724	€2,305	€286	€1,128	€3,112	€262	€1,057	€2,982
A320	€95	€594	€2,162	€178	€844	€2,672	€297	€1,199	€3,386	€297	€1,187	€3,350
A321	€119	€689	€2,566	€201	€927	€3,041	€357	€1,414	€4,015	€333	€1,343	€3,873
A332	€213	€1,176	€4,218	€404	€1,722	€5,310	€677	€2,542	€6,961	€558	€2,185	€6,237
AT43	€36	€213	€724	€71	€309	€915	€83	€345	€986	€83	€345	€986
AT72	€47	€286	€974	€83	€392	€1,199	€107	€463	€1,343	€107	€440	€1,295
B733	€83	€511	€1,842	€166	€749	€2,317	€297	€1,140	€3,112	€250	€1,010	€2,851
B734	€95	€570	€2,067	€178	€820	€2,577	€309	€1,199	€3,326	€297	€1,164	€3,243
B735	€83	€463	€1,663	€166	€712	€2,150	€274	€1,045	€2,816	€213	€879	€2,483
B738	€107	€641	€2,305	€178	€856	€2,745	€321	€1,283	€3,599	€297	€1,211	€3,457
B744	€286	€1,627	€5,939	€546	€2,400	€7,484	€1,104	€4,086	€10,857	€844	€3,279	€9,242
B752	€119	€736	€2,720	€237	€1,093	€3,445	€404	€1,592	€4,431	€345	€1,402	€4,062
B763	€201	€1,069	€3,802	€345	€1,497	€4,656	€606	€2,281	€6,225	€570	€2,173	€6,022
DH8D	€47	€297	€1,057	€83	€404	€1,272	€130	€534	€1,520	€130	€534	€1,520
E190	€71	€380	€1,366	€130	€558	€1,722	€213	€832	€2,269	€213	€820	€2,234
